feature,importance
decel,0.27917781845939765
abs_net_accel,0.11198593373107099
max_gap,0.10214185670021113
speed_category,0.08504280297474544
abs_accel,0.05746683174487474
accel,0.05721659779359358
num_targets,0.04318149849375147
max_plr,0.04243989015923589
speed,0.03388169622359011
speed_kmh,0.028387210455778977
closing_speed,0.026742133347112156
is_braking,0.026373914886638164
brake_ratio,0.024655660173789257
rel_speed,0.023314896127796428
scenario_tsv,0.02062395167852785
k_lost_max,0.01913769282486023
scenario_hnr,0.01822961422502592
has_targets,0.0
